V2,V3,value
Lejre,Billund,0
Læsø,Billund,0
Samsø,Billund,0
Solrød,Billund,0
Vallensbæk,Billund,0
Vordingborg,Billund,0
Ærø,Billund,0
Bornholm,Bornholm,16033
København,Bornholm,199
Frederiksberg,Bornholm,29
Aarhus,Bornholm,22
Gentofte,Bornholm,16
Odense,Bornholm,16
Næstved,Bornholm,14
Helsingør,Bornholm,13
Roskilde,Bornholm,13
Gladsaxe,Bornholm,12
Lyngby-Taarbæk,Bornholm,12
Tårnby,Bornholm,12
Aalborg,Bornholm,10
Guldborgsund,Bornholm,10
Rudersdal,Bornholm,10
Gribskov,Bornholm,9
Herlev,Bornholm,9
Furesø,Bornholm,8
Slagelse,Bornholm,8
Stevns,Bornholm,8
Holbæk,Bornholm,7
Holstebro,Bornholm,7
Ishøj,Bornholm,7
Kolding,Bornholm,7
Viborg,Bornholm,7
Vordingborg,Bornholm,7
Ballerup,Bornholm,6
Fredensborg,Bornholm,6
Fredericia,Bornholm,6
Greve,Bornholm,6
Hvidovre,Bornholm,6
Kalundborg,Bornholm,6
Køge,Bornholm,6
Lolland,Bornholm,6
Ringsted,Bornholm,6
Rødovre,Bornholm,6
Brøndby,Bornholm,5
Dragør,Bornholm,5
Frederikshavn,Bornholm,5
Frederikssund,Bornholm,5
Herning,Bornholm,5
Hillerød,Bornholm,5
Hørsholm,Bornholm,5
Odsherred,Bornholm,5
Vejle,Bornholm,5
Allerød,Bornholm,4
Esbjerg,Bornholm,4
Faxe,Bornholm,4
Hedensted,Bornholm,4
Lejre,Bornholm,4
Ringkøbing-Skjern,Bornholm,4
Skanderborg,Bornholm,4
Svendborg,Bornholm,4
Tønder,Bornholm,4
Vallensbæk,Bornholm,4
Albertslund,Bornholm,3
Faaborg-Midtfyn,Bornholm,3
Glostrup,Bornholm,3
Halsnæs,Bornholm,3
Hjørring,Bornholm,3
Høje-Taastrup,Bornholm,3
Jammerbugt,Bornholm,3
Egedal,Bornholm,2
Horsens,Bornholm,2
Middelfart,Bornholm,2
Nordfyns,Bornholm,2
Odder,Bornholm,2
Randers,Bornholm,2
Silkeborg,Bornholm,2
Skive,Bornholm,2
Solrød,Bornholm,2
Vesthimmerlands,Bornholm,2
Brønderslev,Bornholm,1
Christiansø,Bornholm,1
Haderslev,Bornholm,1
Kerteminde,Bornholm,1
Langeland,Bornholm,1
Lemvig,Bornholm,1
Læsø,Bornholm,1
Mariagerfjord,Bornholm,1
Rebild,Bornholm,1
Sorø,Bornholm,1
Struer,Bornholm,1
Syddjurs,Bornholm,1
Sønderborg,Bornholm,1
Thisted,Bornholm,1
Varde,Bornholm,1
Vejen,Bornholm,1
Aabenraa,Bornholm,0
Assens,Bornholm,0
Billund,Bornholm,0
Fanø,Bornholm,0
Favrskov,Bornholm,0
Ikast-Brande,Bornholm,0
Morsø,Bornholm,0
Norddjurs,Bornholm,0
Nyborg,Bornholm,0
Samsø,Bornholm,0
Ærø,Bornholm,0
Brøndby,Brøndby,3851
København,Brøndby,3536
Hvidovre,Brøndby,1033
Høje-Taastrup,Brøndby,826
Greve,Brøndby,757
Frederiksberg,Brøndby,709
Roskilde,Brøndby,671
Glostrup,Brøndby,659
Rødovre,Brøndby,604
Albertslund,Brøndby,580
Køge,Brøndby,528
Vallensbæk,Brøndby,490
Gladsaxe,Brøndby,461
Ishøj,Brøndby,434
Ballerup,Brøndby,429
Gentofte,Brøndby,387
Egedal,Brøndby,365
Rudersdal,Brøndby,313
Holbæk,Brøndby,309
Lyngby-Taarbæk,Brøndby,305
Tårnby,Brøndby,300
Solrød,Brøndby,293
Furesø,Brøndby,260
Næstved,Brøndby,241
Frederikssund,Brøndby,238
Herlev,Brøndby,227
Lejre,Brøndby,222
Faxe,Brøndby,216
Helsingør,Brøndby,213
Hillerød,Brøndby,212
Slagelse,Brøndby,190
Ringsted,Brøndby,176
Fredensborg,Brøndby,157
Stevns,Brøndby,151
Allerød,Brøndby,137
Dragør,Brøndby,130
Gribskov,Brøndby,122
Hørsholm,Brøndby,121
Vordingborg,Brøndby,121
Odsherred,Brøndby,105
Aarhus,Brøndby,100
Sorø,Brøndby,98
Halsnæs,Brøndby,84
Guldborgsund,Brøndby,79
Odense,Brøndby,78
Kalundborg,Brøndby,68
Vejle,Brøndby,46
Aalborg,Brøndby,39
Lolland,Brøndby,37
Horsens,Brøndby,36
Silkeborg,Brøndby,34
Randers,Brøndby,33
Skanderborg,Brøndby,32
Nyborg,Brøndby,30
Kolding,Brøndby,24
Esbjerg,Brøndby,23
Fredericia,Brøndby,23
Aabenraa,Brøndby,22
Haderslev,Brøndby,22
Hedensted,Brøndby,20
Viborg,Brøndby,20
Svendborg,Brøndby,19
Faaborg-Midtfyn,Brøndby,18
Herning,Brøndby,18
Sønderborg,Brøndby,16
Bornholm,Brøndby,15
Vejen,Brøndby,15
Favrskov,Brøndby,14
Nordfyns,Brøndby,13
Assens,Brøndby,12
Norddjurs,Brøndby,12
Jammerbugt,Brøndby,11
Middelfart,Brøndby,11
Skive,Brøndby,11
Odder,Brøndby,10
Syddjurs,Brøndby,10
Varde,Brøndby,10
Ikast-Brande,Brøndby,9
Kerteminde,Brøndby,9
Billund,Brøndby,8
Holstebro,Brøndby,8
Rebild,Brøndby,8
Struer,Brøndby,7
Frederikshavn,Brøndby,6
Hjørring,Brøndby,6
Mariagerfjord,Brøndby,6
Brønderslev,Brøndby,5
Thisted,Brøndby,5
Langeland,Brøndby,4
Vesthimmerlands,Brøndby,4
Lemvig,Brøndby,3
Ringkøbing-Skjern,Brøndby,3
Tønder,Brøndby,2
Fanø,Brøndby,1
Morsø,Brøndby,1
Christiansø,Brøndby,0
Læsø,Brøndby,0
Samsø,Brøndby,0
Ærø,Brøndby,0
Brønderslev,Brønderslev,8697
Aalborg,Brønderslev,1936
Hjørring,Brønderslev,1201
Frederikshavn,Brønderslev,720
